,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6,MR1_checker,MR2_checker,MR3_checker,MR4_checker,MR5_checker,MR6_checker
49268,9.639522006701664,9.639522006701664,10.676369701114927,14.033971161374104,-9.639522007101665,10.738134295369772,6.866933284461881,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
49353,7.706612913964197,7.706612913964197,8.348537825386098,11.002449779968526,-7.706612915264197,8.805225202632306,4.762173934797756,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
49465,4.762173934797756,4.762173934797756,6.356107660695891,8.058010800802085,-4.762173935297756,5.860786223465866,2.19722457733622,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
49518,9.075207697984686,9.075207697984686,10.25976241645352,13.469656852657124,-9.075207699084686,10.173819986652797,6.590301048196686,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
49602,8.1786387885907,8.1786387885907,8.728102205062104,11.474475654595029,-8.178638787090701,9.277251077258809,5.288267030694535,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
49785,5.375278407684165,5.375278407684165,6.697034247666485,8.671115273688494,-5.375278407984165,6.473890696352275,4.276666119016055,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
49929,7.049254841255836,7.049254841255836,8.997765772011206,11.443703995928274,-7.049254840455837,8.147867129923945,5.662960480135945,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
49973,3.737669618283368,3.737669618283368,5.886104031450156,7.033506484287697,-3.737669617783368,4.836281906951478,1.9459101490553128,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
50053,5.886104031450156,5.886104031450156,6.99576615630485,9.181940897454483,-5.886104031550155,6.984716320118266,3.6888794541139367,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
50148,19.70934463547633,19.70934463547634,22.765080275002507,29.59685523348933,-19.70934463737634,20.80795692414445,18.09990672304224,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
50155,5.42934562895444,5.42934562895444,6.897704943128636,8.72518249495877,-5.42934562965444,6.52795791762255,2.4849066497880004,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
50360,9.294681520409934,9.294681520409934,10.45103075923728,13.689130675082373,-9.294681520609934,10.393293809078044,6.522092798170153,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
50533,2.890371757896165,2.890371757896165,5.480638923341991,6.186208623900494,-2.8903717579961645,3.9889840465642745,2.890371757896165,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
50748,7.221105098182496,7.221105098182496,7.996317231796746,10.516941964186824,-7.221105099282496,8.319717386850606,4.276666119016055,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
50853,6.802394763324311,6.80239476332431,7.67786350067821,10.09823162932864,-6.802394763224311,7.901007051992421,5.19295685089021,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
50886,6.00388706710654,6.00388706710654,7.16703787691222,9.299723933110869,-6.003887066806539,7.10249935577465,3.80666248977032,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
