,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
23517,13,13,17,52,0.023255814,4,13
23518,9,9,13,36,0.0208333333,4,9
23519,8,8,12,32,0.0204081633,4,8
23520,3,3,7,12,0.0526315789,3,5
23521,3,3,7,12,0.0227272727,3,3
23522,2,2,6,8,0.0217391304,2,2
23523,8,8,12,32,0.0222222222,4,8
23524,1,1,5,4,0.0204081633,1,1
23525,16,16,20,64,0.0222222222,4,21
23526,6,6,10,24,0.0208333333,4,6
23527,3,3,7,12,0.027027027,3,3
23528,13,13,17,52,0.0322580645,4,13
23529,20,20,24,80,0.0204081633,4,20
23530,1,1,5,4,0.0263157895,1,1
23531,9,9,13,36,0.0238095238,4,9
23532,5,5,9,20,0.0243902439,4,5
23533,7,7,11,28,0.0204081633,4,7
23534,2,2,6,8,0.0204081633,2,2
23535,2,2,6,8,0.0222222222,2,2
23536,4,4,8,16,0.0208333333,4,4
23537,4,4,8,16,0.0285714286,4,4
23538,1,1,5,4,0.0357142857,1,1
23539,4,4,8,16,0.0227272727,4,4
23540,13,13,17,52,0.0217391304,4,13
23541,5,5,9,20,0.0222222222,4,5
23542,1,1,5,4,0.0204081633,1,1
23543,17,17,21,68,0.023255814,4,39
23544,37,37,41,148,0.0222222222,4,37
23545,1,1,5,4,0.023255814,1,1
23546,2,2,6,8,0.0204081633,2,2
23547,5,5,9,20,0.0204081633,4,5
23548,8,8,12,32,0.0303030303,4,8
23549,3,3,7,12,0.0238095238,3,3
23550,2,2,6,8,0.0208333333,2,2
23551,6,6,10,24,0.0333333333,4,6
23552,2,2,6,8,0.023255814,2,2
23553,3,3,7,12,0.0222222222,3,3
23554,6,6,10,24,0.0204081633,4,6
23555,6,6,10,24,0.0243902439,4,6
23556,6,6,10,24,0.023255814,4,6
23557,19,19,23,76,0.0208333333,4,19
23558,41,41,45,164,0.0204081633,4,41
23559,9,9,13,36,0.0222222222,4,9
23560,11,11,15,44,0.0212765957,4,11
23561,18,18,22,72,0.0208333333,4,18
23562,8,8,12,32,0.0256410256,4,8
23563,17,17,21,68,0.0204081633,4,17
23564,2,2,6,8,0.0217391304,2,2
23565,2,2,6,8,0.023255814,2,2
23566,13,13,17,52,0.0204081633,4,13
23567,6,6,10,24,0.0212765957,4,6
23568,22,22,26,88,0.0256410256,4,22
23569,14,14,18,56,0.0222222222,4,14
23570,4,4,8,16,0.0238095238,4,8
23571,13,13,17,52,0.0204081633,4,13
23572,1,1,5,4,0.0208333333,1,1
23573,3,3,7,12,0.0204081633,3,3
23574,4,4,8,16,0.0227272727,4,4
23575,13,13,17,52,0.0263157895,4,14
23576,3,3,7,12,0.0217391304,3,3
23577,4,4,8,16,0.0212765957,4,11
23578,8,8,12,32,0.0208333333,4,8
23579,10,10,14,40,0.0476190476,4,10
23580,17,17,21,68,0.0212765957,4,17
23581,1,1,5,4,0.0204081633,1,1
23582,2,2,6,8,0.0204081633,2,2
23583,1,1,5,4,0.0217391304,1,12
23584,5,5,9,20,0.0212765957,4,5
23585,3,3,7,12,0.0208333333,3,3
23586,1,1,5,4,0.0243902439,1,4
23587,6,6,10,24,0.0217391304,4,6
23588,1,1,5,4,0.023255814,1,1
23589,6,6,10,24,0.0238095238,4,6
23590,2,2,6,8,0.0285714286,2,2
23591,1,1,5,4,0.0204081633,1,1
23592,5,5,9,20,0.0204081633,4,5
23593,14,14,18,56,0.0217391304,4,14
23594,4,4,8,16,0.0256410256,4,4
23595,4,4,8,16,0.0222222222,4,4
23596,3,3,7,12,0.0212765957,3,3
23597,5,5,9,20,0.0212765957,4,5
23598,8,8,12,32,0.0217391304,4,11
23599,1,1,5,4,0.0212765957,1,1
23600,9,9,13,36,0.0222222222,4,9
23601,4,4,8,16,0.0204081633,4,4
23602,10,10,14,40,0.0238095238,4,15
23603,17,17,21,68,0.0227272727,4,44
23604,16,16,20,64,0.025,4,16
23605,7,7,11,28,0.0204081633,4,7
23606,14,14,18,56,0.0243902439,4,14
23607,4,4,8,16,0.0384615385,4,11
23608,24,24,28,96,0.023255814,4,24
23609,9,9,13,36,0.0204081633,4,9
23610,26,26,30,104,0.023255814,4,40
23611,2,2,6,8,0.0222222222,2,2
23612,19,19,23,76,0.0263157895,4,19
23613,4,4,8,16,0.0238095238,4,9
23614,11,11,15,44,0.0208333333,4,11
23615,11,11,15,44,0.0277777778,4,11
23616,1,1,5,4,0.0204081633,1,1
23617,1,1,5,4,0.0204081633,1,1
23618,5,5,9,20,0.0303030303,4,5
23619,7,7,11,28,0.0238095238,4,7
23620,4,4,8,16,0.0212765957,4,4
23621,2,2,6,8,0.0243902439,2,2
23622,3,3,7,12,0.0208333333,3,3
23623,7,7,11,28,0.0212765957,4,7
23624,5,5,9,20,0.0357142857,4,5
23625,25,25,29,100,0.0217391304,4,25
23626,1,1,5,4,0.0217391304,1,3
23627,16,16,20,64,0.0222222222,4,16
23628,10,10,14,40,0.023255814,4,10
23629,2,2,6,8,0.023255814,2,2
23630,7,7,11,28,0.0256410256,4,7
23631,7,7,11,28,0.0416666667,4,7
23632,7,7,11,28,0.0208333333,4,7
23633,1,1,5,4,0.0208333333,1,1
23634,4,4,8,16,0.0208333333,4,4
