,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6,MR1_checker,MR2_checker,MR3_checker,MR4_checker,MR5_checker,MR6_checker
2195,1.603645595601214,1.6036455956012137,1.6903537442301229,1.603645595601214,1.1359562654321465,1.7187256015779209,1.4206251357886284,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
2196,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2197,0.923840705630872,0.923840705630872,,0.923840705630872,d/0,,0.5982695885852573,Not-violated,Violated,Not-violated,NA -> d/0,Violated,Not-violated
2198,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2199,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2200,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2201,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2202,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2203,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2204,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
2205,,,,,,,0.336495757583516,Violated,Violated,Violated,Violated,Violated,Violated
2206,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2207,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
2208,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2209,0.9183987247993113,0.9183987247993113,1.0066670009137897,0.9183987247993113,0.9337200584975456,1.1700568010218433,0.4659992569610426,Not-violated,Not-violated,Not-violated,Violated,Not-violated,Not-violated
2210,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2211,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2212,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2213,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2214,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
2215,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2216,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2217,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2218,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2219,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2220,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
2221,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2222,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2223,,,,,,,0.667431707658747,Violated,Violated,Violated,Violated,Violated,Violated
2224,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
2225,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2226,,,,,,,d/0,Violated,Violated,Violated,Violated,Violated,NA -> d/0
2227,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2228,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2229,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2230,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2231,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2232,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2233,,,1.4233837850002549,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2234,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2235,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2236,0.900908873225472,0.900908873225472,1.013261884144225,0.900908873225472,0.8862286922995677,1.182323923910242,0.4293230219306162,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
2237,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2238,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
2239,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2240,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2241,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2242,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2243,,,,,,,1.3170059007180985,Violated,Violated,Violated,Violated,Violated,Violated
2244,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2245,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2246,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2247,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2248,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
