,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
13914,29,24,35,87,0.2666666667,29,29
13915,8,6,14,24,d/0,8,8
13916,25,11,31,75,0.16666666670000002,25,6
13917,7,7,13,21,d/0,7,3
13918,5,5,11,15,-0.07575757579999999,5,5
13919,21,21,27,63,1.2,21,21
13920,32,9,38,96,0.1254901961,32,32
13921,4,4,10,12,-0.07500000000000001,4,4
13922,5,16,11,15,0.05194805200000001,12,5
13923,6,8,12,18,0.030701754400000003,6,6
13924,13,15,19,39,d/0,13,13
13925,5,5,11,15,0.008823529399999995,19,0
13926,-16,-16,-10,-48,-0.1166666667,1,-28
13927,30,19,36,90,0.9230769231,30,30
13928,14,26,20,42,d/0,14,14
13929,6,6,12,18,-0.08333333339999999,15,-20
13930,29,29,35,87,0.19548872180000001,29,29
13931,22,35,28,66,1.0588235294,22,18
13932,3,4,9,9,0.039682539700000005,3,3
13933,14,15,20,42,d/0,14,14
13934,10,28,16,30,0.0180995475,18,10
13935,5,22,11,15,0.125,7,5
13936,29,29,35,87,0.17424242420000002,29,29
13937,24,24,30,72,0.2016806723,24,24
13938,32,24,38,96,0.24285714290000002,32,32
13939,18,23,24,54,d/0,18,18
13940,15,6,21,45,-0.4411764706,20,-13
13941,7,4,13,21,d/0,7,3
13942,25,26,31,75,0.30952380960000003,25,15
13943,6,6,12,18,0.75,6,-6
13944,22,22,28,66,d/0,22,22
13945,31,13,37,93,0.3921568627,31,31
13946,14,-3,20,42,d/0,14,14
13947,27,27,33,81,0.2678571429,27,27
13948,25,13,31,75,0.39999999999999997,25,25
13949,-6,6,0,-18,0.024291497999999995,-6,-6
13950,16,16,22,48,0.2909090909,16,4
13951,15,26,21,45,d/0,15,15
13952,20,12,26,60,d/0,20,20
13953,-5,12,1,-15,0.1388888889,7,-12
13954,6,15,12,18,d/0,6,6
13955,2,23,8,6,0.0694444444,18,-8
13956,13,35,19,39,d/0,19,13
13957,18,17,24,54,1.0625,18,18
13958,33,36,39,99,0.2435897436,33,33
13959,15,16,21,45,1.125,15,15
13960,12,21,18,36,0.5833333332999999,12,12
13961,18,15,24,54,d/0,18,18
13962,25,28,31,75,0.3928571429,25,25
13963,9,11,15,27,1.3333333333,11,4
13964,22,28,28,66,d/0,22,22
13965,33,28,39,99,0.202020202,33,29
13966,24,24,30,72,d/0,24,24
13967,31,31,37,93,0.5555555556,31,31
13968,25,27,31,75,1.0769230769,25,25
13969,23,18,29,69,0.3409090909,23,23
13970,18,13,24,54,0.6428571429000001,18,18
13971,13,16,19,39,0.0,13,13
13972,15,24,21,45,0.024999999999999994,15,15
13973,-28,-24,-22,-84,-0.1357466063,-10,-28
13974,13,25,19,39,d/0,13,13
13975,-13,-15,-7,-39,0.1911764706,7,-36
13976,33,35,39,99,0.1916666667,33,33
13977,-12,-12,-6,-36,0.2807017544,6,-12
13978,23,17,29,69,1.125,23,23
13979,16,16,22,48,d/0,16,16
13980,14,26,20,42,0.028571428600000004,16,14
13981,21,21,27,63,0.5833333333,21,15
13982,10,22,16,30,0.45,21,9
13983,17,25,23,51,0.4230769231,17,17
13984,15,12,21,45,d/0,15,15
13985,22,18,28,66,0.1964285714,22,22
13986,20,25,26,60,0.36666666670000003,20,20
13987,11,30,17,33,-0.012605042000000004,20,11
13988,16,16,22,48,0.45,16,16
13989,28,30,34,84,0.14358974359999999,28,28
13990,21,15,27,63,d/0,21,21
13991,9,28,15,27,-0.003676470600000002,20,9
13992,3,7,9,9,-0.05555555559999999,3,3
13993,0,12,6,0,0.0,1,0
13994,23,23,29,69,0.2678571429,23,23
13995,-2,1,4,-6,0.24999999999999997,-2,-2
13996,35,35,41,105,0.11437908499999999,35,16
13997,20,15,26,60,1.0714285714,20,20
13998,26,16,32,78,0.2666666667,26,26
13999,0,9,6,0,0.8333333333,14,-1
14000,26,9,32,78,0.2016806723,26,26
14001,22,10,28,66,0.3921568627,22,22
14002,9,9,15,27,0.0166666667,9,9
14003,20,19,26,60,1.1428571429,20,20
14004,30,29,36,90,1.0555555556,30,19
14005,22,26,28,66,0.41666666669999997,22,20
14006,16,14,22,48,d/0,16,16
14007,6,9,12,18,-0.011111111100000001,6,6
