,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
699,6,6,6,6,6,7,5
700,9,9,10,9,d/0,10,8
701,3,3,4,3,d/0,4,2
702,11,11,11,11,11,12,10
703,4,4,5,4,d/0,5,3
704,8,8,8,8,8,9,7
705,13,13,14,13,d/0,14,12
706,5,5,6,5,d/0,6,4
707,14,14,14,14,14,15,13
708,11,11,11,11,d/0,12,10
709,14,14,13,14,14,15,13
710,5,5,5,5,5,6,4
711,6,6,6,6,6,7,5
712,3,3,2,3,3,4,2
713,5,5,5,5,5,6,4
714,7,7,7,7,7,8,6
715,11,11,13,11,d/0,12,10
716,12,12,12,12,12,13,11
717,13,13,13,13,13,14,12
718,3,3,3,3,3,4,2
719,12,12,11,12,12,13,11
720,10,10,11,10,d/0,11,9
721,10,10,9,10,10,11,9
722,12,12,12,12,12,13,11
723,7,7,7,7,7,8,6
724,5,5,6,5,d/0,6,4
725,4,4,3,4,4,5,3
726,10,10,10,10,10,11,9
727,9,9,8,9,9,10,8
728,7,7,6,7,7,8,6
729,13,13,14,13,d/0,14,12
730,3,3,3,3,3,4,2
731,14,14,14,14,14,15,13
732,4,4,5,4,d/0,5,3
733,8,8,8,8,8,9,7
734,13,13,13,13,d/0,14,12
735,7,7,7,7,7,8,6
736,9,9,9,9,9,10,8
737,9,9,9,9,9,10,8
738,7,7,8,7,d/0,8,6
739,12,12,14,12,d/0,13,11
740,5,5,5,5,5,6,4
741,3,3,3,3,3,4,2
742,3,3,3,3,3,4,2
743,10,10,11,10,d/0,11,10
744,12,12,11,12,d/0,13,11
745,10,10,10,10,10,11,9
746,12,12,12,12,12,13,11
747,9,9,8,9,9,10,8
748,13,13,13,13,13,14,12
749,7,7,7,7,7,8,6
750,4,4,4,4,4,5,3
751,14,14,14,14,14,15,13
752,11,11,10,11,11,12,10
753,10,10,10,10,10,11,9
754,4,4,4,4,4,5,3
755,4,4,4,4,4,5,3
756,8,8,8,8,8,9,7
757,5,5,6,5,d/0,6,4
758,8,8,8,8,8,9,7
759,5,5,5,5,5,6,4
760,12,12,12,12,12,13,11
761,3,3,3,3,3,4,2
762,6,6,7,6,d/0,7,5
763,14,14,13,14,14,15,13
764,11,11,11,11,11,12,10
765,8,8,8,8,8,9,7
766,4,4,4,4,4,5,3
767,13,13,14,13,d/0,14,12
768,14,14,13,14,14,15,13
769,13,13,13,13,13,14,12
770,13,13,13,13,13,14,12
771,3,3,3,3,3,4,2
772,4,4,4,4,4,5,3
773,13,13,14,13,d/0,14,12
774,13,13,13,13,13,14,12
775,4,4,3,4,4,5,3
776,7,7,6,7,7,8,6
777,6,6,6,6,6,7,5
778,14,14,14,14,14,15,13
779,3,3,3,3,3,4,2
780,12,12,12,12,12,13,11
781,12,12,13,12,d/0,13,11
782,10,10,10,10,10,11,9
783,9,9,8,9,9,10,8
784,7,7,8,7,d/0,8,6
785,11,11,11,11,11,12,10
786,6,6,6,6,6,7,5
787,6,6,6,6,6,7,5
788,10,10,10,10,10,11,9
789,14,14,13,14,14,15,13
790,8,8,10,8,d/0,9,7
791,8,8,8,8,8,9,7
792,5,5,5,5,5,6,4
793,14,14,14,14,14,15,13
794,11,11,10,11,11,12,10
795,10,10,11,10,d/0,11,9
796,11,11,11,11,11,12,10
797,4,4,4,4,4,5,3
798,11,11,12,11,d/0,12,10
799,11,11,10,11,11,12,10
800,9,9,9,9,9,10,8
801,12,12,12,12,12,13,11
802,8,8,8,8,8,9,7
803,14,14,14,14,14,15,13
804,10,10,10,10,10,11,9
805,6,6,7,6,d/0,7,5
806,12,12,13,12,d/0,13,11
807,7,7,7,7,7,8,6
808,6,6,5,6,6,7,5
809,12,12,11,12,12,13,11
810,4,4,4,4,4,5,3
