,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
259,-19,-19,20,-57,0.3193020001,-16,-38
260,-57,-57,-27,-171,-0.18465325520000003,-54,-64
261,11,11,38,33,0.8984126984999999,14,5
262,-59,-59,-26,-177,-1.652009102,-56,-72
263,15,15,57,45,1.4770942509,18,35
264,-92,-92,-53,-276,-0.6730921856000002,-89,-80
265,-20,-20,-5,-60,-0.031045751599999998,-17,-8
266,46,46,79,138,0.5495098039999999,49,55
267,-11,-11,1,-33,-0.31666666670000004,-8,-6
268,1,1,34,3,0.45952380950000005,4,16
269,17,17,26,51,0.0588235294,20,1
270,72,72,99,216,-0.0816165861,75,74
271,6,6,21,18,0.4819004525,9,14
272,26,26,38,78,0.1538461538,29,13
273,105,105,138,315,0.38089447099999996,108,99
274,-25,-25,17,-75,-0.2958333333,-22,-7
275,51,51,90,153,-0.23829365069999991,54,36
276,-6,-6,6,-18,-0.059774435999999986,-3,13
277,4,4,34,12,d/0,7,15
278,18,18,30,54,0.3263888889,21,14
279,-53,-53,-14,-159,-1.5250433776,-50,-63
280,12,12,42,36,1.1081871346000003,15,-4
281,51,51,93,153,d/0,54,41
282,13,13,28,39,-1.9424603175,16,21
283,10,10,49,30,-1.0103285173,13,29
284,-10,-10,23,-30,d/0,-7,-11
285,8,8,26,24,-0.1063131313,11,-10
286,45,45,54,135,0.214379085,48,28
287,5,5,38,15,2.8510442772999998,8,20
288,-70,-70,-31,-210,-0.2604459867000001,-67,-54
289,1,1,31,3,-0.31067821069999996,4,-10
290,-24,-24,12,-72,d/0,-21,-24
291,-1,-1,41,-3,d/0,2,15
292,17,17,47,51,0.2577991452,20,26
293,16,16,49,48,-0.06087215589999995,19,14
294,1,1,10,3,-0.3473684211,4,16
295,-9,-9,0,-27,-1.6666666667,-6,-3
296,6,6,21,18,0.0047619049000000024,9,9
297,-17,-17,7,-51,0.0818672556,-14,2
298,17,17,56,51,1.0669950964000001,20,-1
299,72,72,102,216,d/0,75,60
300,40,40,58,120,-0.021825396800000008,43,24
301,-12,-12,15,-36,-0.10829725840000001,-9,-26
302,32,32,68,96,1.0073295985,35,15
303,36,36,69,108,1.6977734683,39,22
304,-28,-28,-4,-84,0.03333333340000004,-25,-8
305,-62,-62,-23,-186,-1.7409284127000002,-59,-55
306,-1,-1,17,-3,1.1140350878,2,-2
307,-1,-1,32,-3,d/0,2,2
308,-2,-2,34,-6,0.0249509262,1,13
309,30,30,42,90,0.8337662337999999,33,20
310,19,19,58,57,4.1352564102,22,27
311,5,5,23,15,-0.02659105600000003,8,-2
312,25,25,55,75,-0.30621976079999996,28,32
313,-28,-28,-16,-84,-0.05952380960000002,-25,-13
314,4,4,28,12,-0.07294690600000003,7,-3
315,43,43,85,129,d/0,46,38
316,-34,-34,8,-102,-1.5048552752999995,-31,-41
317,22,22,31,66,1.2625,25,6
318,-51,-51,-24,-153,d/0,-48,-35
319,10,10,28,30,-0.052263526000000005,13,-5
320,45,45,75,135,1.2901638995000002,48,39
321,-14,-14,10,-42,1.2408891546,-11,-33
322,10,10,25,30,-0.005494505399999988,13,4
323,31,31,40,93,d/0,34,18
324,-29,-29,-2,-87,d/0,-26,-12
325,18,18,33,54,0.4215747703,21,10
326,1,1,16,3,-1.2952380952,4,-13
327,5,5,23,15,-0.8647435898,8,20
328,7,7,49,21,0.7799603174,10,-8
329,-23,-23,1,-69,d/0,-20,-6
330,16,16,43,48,0.5669413918,19,2
331,34,34,55,102,-0.23194444430000005,37,43
332,-38,-38,-20,-114,d/0,-35,-26
333,-46,-46,-28,-138,-0.46428571430000004,-43,-41
334,0,0,15,0,-0.3202630703,3,4
335,20,20,41,60,d/0,23,20
336,9,9,27,27,d/0,12,9
337,45,45,69,135,d/0,48,49
338,-22,-22,-13,-66,0.3321678322,-19,-9
339,-20,-20,7,-60,d/0,-17,-7
340,3,3,33,9,-0.6906422826,6,21
341,-28,-28,-19,-84,0.35,-25,-18
342,-4,-4,35,-12,-0.3315799395,-1,-15
343,13,13,25,39,0.25873015870000005,16,-1
344,-20,-20,4,-60,d/0,-17,-17
345,-12,-12,21,-36,d/0,-9,1
346,-20,-20,-11,-60,-0.013888888900000007,-17,-26
347,2,2,17,6,-0.9909090909,5,3
348,23,23,41,69,1.0150543901000002,26,31
349,29,29,56,87,-0.3350307587999999,32,18
350,11,11,41,33,1.7057378295,14,-1
351,21,21,33,63,0.19090909090000002,24,11
352,-3,-3,12,-9,-1.4549441787000001,0,1
353,-43,-43,-13,-129,-0.7221810653,-40,-36
354,-70,-70,-28,-210,-1.6015512265,-67,-65
355,-16,-16,5,-48,0.3999999999,-13,-22
356,-34,-34,8,-102,-0.8275793652000001,-31,-21
357,-4,-4,17,-12,0.48339438339999996,-1,6
358,43,43,85,129,d/0,46,37
359,-6,-6,6,-18,d/0,-3,-6
360,38,38,71,114,1.5984737486,41,46
361,-49,-49,-7,-147,-1.3673840049,-46,-37
362,26,26,35,78,0.38644688650000003,29,19
363,-18,-18,0,-54,1.2834877539999998,-15,-11
364,25,25,49,75,-0.6236551029999999,28,7
365,-37,-37,2,-111,-0.7489380502,-34,-35
366,-37,-37,-22,-111,-0.3742424242,-34,-33
367,-38,-38,-17,-114,d/0,-35,-21
368,-15,-15,18,-45,d/0,-12,-15
369,-7,-7,5,-21,d/0,-4,8
370,-1,-1,23,-3,0.7892857143,2,-9
371,-16,-16,-7,-48,-0.0547619047,-13,-26
372,-2,-2,7,-6,0.5341880342,1,-4
373,-24,-24,12,-72,-1.1281657668,-21,-21
374,-39,-39,-15,-117,d/0,-36,-44
375,-17,-17,-2,-51,1.2953431372,-14,-1
376,-17,-17,-8,-51,-0.04273504269999999,-14,-26
377,36,36,57,108,0.25326797380000005,39,19
378,25,25,58,75,0.45772195649999986,28,30
379,18,18,33,54,0.0555555556,21,0
380,34,34,67,102,d/0,37,31
381,19,19,40,57,d/0,22,20
382,-7,-7,14,-21,d/0,-4,-16
383,23,23,56,69,-0.005304929000000097,26,17
384,-41,-41,-8,-123,0.5826858814,-38,-55
385,-30,-30,6,-90,-1.1624310328999998,-27,-42
386,27,27,69,81,d/0,30,28
387,11,11,41,33,0.8280562575000001,14,4
388,-37,-37,-19,-111,-2.1838235293999997,-34,-36
389,-38,-38,-8,-114,-2.2213726031000003,-35,-49
390,43,43,73,129,-0.8655451574,46,52
391,-12,-12,21,-36,1.2848272641,-9,-6
392,-32,-32,4,-96,-0.6930754489000001,-29,-28
393,6,6,18,18,-0.046092796100000014,9,-8
394,-8,-8,34,-24,0.8923992674000001,-5,-21
395,36,36,60,108,-0.6745588777,39,38
396,-84,-84,-54,-252,-1.0145202019000001,-81,-78
397,-87,-87,-45,-261,-1.2778021385000002,-84,-89
398,-41,-41,-23,-123,-0.0791467304,-38,-25
399,-32,-32,-2,-96,-1.7720238096,-29,-44
400,-11,-11,22,-33,0.0727240897000001,-8,-9
401,-28,-28,-4,-84,-0.1372405372,-25,-37
402,4,4,37,12,0.4291666666999999,7,-12
403,-24,-24,-15,-72,0.14047619039999998,-21,-4
404,-40,-40,2,-120,d/0,-37,-40
405,-40,-40,-25,-120,0.2473684211,-37,-44
406,-27,-27,-12,-81,-0.3317821067,-24,-18
407,-10,-10,8,-30,d/0,-7,-18
408,3,3,30,9,d/0,6,14
409,-52,-52,-22,-156,d/0,-49,-54
410,-45,-45,-6,-135,0.7867063491999998,-42,-29
411,-52,-52,-25,-156,d/0,-49,-49
412,64,64,85,192,0.23060273060000003,67,57
413,-1,-1,17,-3,0.5533730159,2,13
414,21,21,33,63,0.2749750249,24,28
415,23,23,56,69,d/0,26,23
416,-36,-36,-9,-108,0.0254901961,-33,-16
417,-31,-31,-22,-93,d/0,-28,-16
418,-14,-14,13,-42,-1.339423077,-11,-28
419,-53,-53,-11,-159,d/0,-50,-62
420,-8,-8,1,-24,d/0,-5,4
421,-42,-42,-24,-126,1.0674242424,-39,-22
422,-47,-47,-14,-141,d/0,-44,-27
423,9,9,18,27,-0.44444444439999997,12,15
424,-16,-16,20,-48,-0.6115402570999999,-13,-34
425,-2,-2,31,-6,-0.4660353534999999,1,4
426,-41,-41,-29,-123,-0.8192982456,-38,-26
427,-29,-29,10,-87,d/0,-26,-16
428,-6,-6,27,-18,-0.9063691426,-3,5
429,38,38,56,114,0.7762265512000001,41,24
430,3,3,15,9,-2.1,6,8
431,-13,-13,14,-39,1.1476477771,-10,0
432,-17,-17,-2,-51,0.7238095237,-14,-11
433,-2,-2,37,-6,d/0,1,-12
434,-43,-43,-31,-129,-1.2430555556,-40,-27
435,9,9,30,27,0.07702020190000002,12,-2
436,0,0,12,0,0.0,3,-19
437,-57,-57,-15,-171,d/0,-54,-57
438,-145,-145,-109,-435,-1.466908457,-142,-133
439,59,59,98,177,d/0,62,48
440,-1,-1,35,-3,-0.03825757569999999,2,-5
441,-30,-30,6,-90,d/0,-27,-24
442,14,14,26,42,0.5921568627,17,4
443,-30,-30,6,-90,-0.26557778309999996,-27,-25
444,-48,-48,-30,-144,-0.5357466063,-45,-58
445,-26,-26,16,-78,1.4642783688,-23,-34
446,29,29,71,87,-0.9067026540999998,32,33
447,22,22,31,66,-0.0924242424,25,26
448,0,0,18,0,d/0,3,1
449,-65,-65,-38,-195,d/0,-62,-55
450,-37,-37,5,-111,-0.06067821069999997,-34,-17
451,-22,-22,-1,-66,-1.5270774976000001,-19,-21
452,-2,-2,28,-6,0.7661764706,1,-18
453,-6,-6,15,-18,-0.13903508779999996,-3,0
454,-27,-27,3,-81,0.6218055034999999,-24,-20
455,-4,-4,11,-12,d/0,-1,-16
456,-16,-16,11,-48,-0.6652777777000001,-13,-11
457,28,28,70,84,d/0,31,48
458,12,12,33,36,0.17173202620000005,15,-6
459,15,15,48,45,0.21854575150000005,18,31
460,-2,-2,40,-6,-2.211334499000001,1,13
461,-52,-52,-19,-156,-0.13242955869999998,-49,-69
462,-9,-9,12,-27,-0.16616479929999997,-6,5
463,39,39,60,117,0.3663742689,42,20
464,-4,-4,17,-12,-1.6075757575000003,-1,-6
465,-120,-120,-78,-360,-0.10090316029999996,-117,-104
466,7,7,34,21,d/0,10,-6
467,52,52,76,156,-0.21181139119999995,55,35
468,74,74,110,222,1.3205650342000002,77,55
469,-4,-4,38,-12,-2.0228785105,-1,-2
470,7,7,34,21,d/0,10,-8
471,8,8,17,24,0.1901315789,11,24
472,7,7,43,21,-2.3372044623,10,8
473,-31,-31,-22,-93,0.03730158730000001,-28,-11
474,28,28,67,84,0.14904401160000005,31,21
475,25,25,37,75,0.8083333333,28,22
476,-13,-13,-1,-39,-0.23272195640000004,-10,-2
477,-7,-7,17,-21,d/0,-4,-13
478,28,28,52,84,0.12301587289999998,31,37
479,-26,-26,-11,-78,0.041176470600000015,-23,-29
480,-25,-25,-13,-75,-0.16233766230000002,-22,-14
481,38,38,62,114,0.7809486265000001,41,36
482,90,90,120,270,2.7903410916,93,82
483,46,46,82,138,d/0,49,48
484,-17,-17,4,-51,-0.15695774810000002,-14,-24
485,-64,-64,-49,-192,-0.5388888889000001,-61,-44
486,16,16,55,48,-0.6735060690999999,19,22
487,-1,-1,35,-3,-1.7030650937000003,2,3
488,-106,-106,-67,-318,-0.5587292394000001,-103,-86
489,30,30,72,90,1.5678321676999998,33,40
490,-14,-14,13,-42,0.7856591937999999,-11,-15
491,65,65,104,195,-0.8267945506,68,67
492,11,11,20,33,0.08596491220000001,14,31
493,7,7,43,21,-1.3387926830999999,10,15
494,-15,-15,21,-45,-1.4749588431000005,-12,4
495,13,13,22,39,0.0805194805,16,24
496,-17,-17,7,-51,d/0,-14,-14
497,0,0,15,0,-0.23095238100000007,3,-12
498,20,20,38,60,-0.3802197801999999,23,26
499,31,31,55,93,d/0,34,24
500,-30,-30,0,-90,d/0,-27,-34
501,26,26,50,78,1.0069444445,29,28
502,1,1,31,3,-0.5789923527,4,-4
503,14,14,38,42,d/0,17,22
504,36,36,54,108,0.08035714280000002,39,21
505,24,24,45,72,0.8727564102,27,17
506,15,15,27,45,0.41874791869999994,18,4
507,-13,-13,2,-39,-0.08666235720000001,-10,-3
508,-5,-5,7,-15,0.04583333339999998,-2,11
509,46,46,61,138,0.2013888889,49,34
510,6,6,39,18,d/0,9,12
511,-17,-17,-8,-51,-0.04464285709999999,-14,-1
512,-23,-23,13,-69,d/0,-20,-21
513,0,0,9,0,0.5102564102,3,-13
514,0,0,15,0,d/0,3,-5
515,-23,-23,10,-69,d/0,-20,-35
516,21,21,45,63,1.6636904762000002,24,37
517,-16,-16,14,-48,-1.0325396826000002,-13,-19
518,-1,-1,29,-3,-0.07500000000000005,2,4
519,23,23,50,69,-0.008474450299999964,26,7
520,13,13,52,39,-1.3238705735999998,16,25
521,-125,-125,-83,-375,-1.0369892965,-122,-110
522,-39,-39,0,-117,-1.1457532663999999,-36,-19
523,-12,-12,21,-36,d/0,-9,-13
524,-99,-99,-57,-297,-1.1494200244,-96,-85
525,25,25,34,75,0.7555555556,28,20
526,30,30,48,90,d/0,33,34
527,27,27,60,81,-0.2110876268,30,37
528,17,17,59,51,-0.1518746174,20,0
529,14,14,23,42,0.1444444445,17,23
530,47,47,77,141,0.42308426870000004,50,36
531,-8,-8,22,-24,d/0,-5,-2
532,67,67,97,201,d/0,70,59
533,1,1,19,3,-0.4670112782,4,-18
534,33,33,66,99,-3.0593342331,36,14
535,33,33,45,99,0.1526315789,36,14
536,17,17,53,51,d/0,20,1
537,-7,-7,17,-21,0.13285135920000002,-4,-26
538,-37,-37,-10,-111,0.2626984126,-34,-24
539,3,3,15,9,d/0,6,18
540,4,4,22,12,0.4666666667,7,20
541,-39,-39,3,-117,d/0,-36,-43
542,-31,-31,-10,-93,-0.4709054832999999,-28,-20
543,37,37,79,111,d/0,40,23
544,3,3,45,9,1.1108076565,6,-1
545,23,23,56,69,d/0,26,8
546,-38,-38,4,-114,1.4637015762,-35,-42
547,-42,-42,-3,-126,-0.32979797999999994,-39,-36
548,-73,-73,-34,-219,d/0,-70,-58
549,-15,-15,0,-45,0.23290043289999998,-12,-21
550,38,38,74,114,0.8961251165,41,21
551,-54,-54,-36,-162,-0.3195906434,-51,-46
552,70,70,112,210,d/0,73,56
553,-20,-20,1,-60,-0.4229946524,-17,-37
554,8,8,20,24,-0.2424242424,11,11
555,22,22,34,66,-0.1802115584,25,3
556,17,17,53,51,0.48696073010000007,20,-2
557,-1,-1,8,-3,-0.5111111111000001,2,-11
558,62,62,101,186,d/0,65,55
559,8,8,20,24,-0.40541443850000003,11,25
560,11,11,26,33,0.95,14,7
561,-18,-18,-6,-54,0.46425339369999996,-15,-1
562,7,7,46,21,-2.6851190477999998,10,8
563,-2,-2,13,-6,-0.33333333330000003,1,2
564,48,48,78,144,d/0,51,31
565,-16,-16,5,-48,0.45744255750000007,-13,-29
566,33,33,51,99,0.8142857143000001,36,43
567,-36,-36,-18,-108,0.10164835169999997,-33,-39
568,7,7,34,21,0.0007724300999999434,10,-5
